,regNum,currentContractStage,signDate,startDate,endDate,regionCode,fz,currencyCode,contractPrice,sup_name,sup_inn,sup_type,OKPD2,OKPD,prodPrice,prodQuantity,prodSum
0,1770420620122000099,E,2022-12-29,2023-01-01,2024-03-31,77,44,RUB,3815000.0,"['ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ПРЕЗИДЕНТ-СЕРВИС"" УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ']",7730050504,U,52.23.11.000,,3815000.0,1.0,3815000.0
1,1770420620122000095,E,2022-12-28,2023-01-01,2024-05-01,77,44,RUB,71295.0,"['ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГЛАВНЫЙ ЦЕНТР СПЕЦИАЛЬНОЙ СВЯЗИ""']",7717043113,U,53.20.11.110,,71295.0,1.0,71295.0
2,1770420620122000097,E,2022-12-28,2023-01-01,2023-12-31,77,44,RUB,33537467.4,"['АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОЗНАК""']",7813252159,U,18.12.19.190,,173.4,193411.0,33537467.4
3,1770420620122000096,E,2022-12-28,2022-12-28,2023-12-31,77,44,RUB,294546132.0,"['АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОЗНАК""']",7813252159,U,17.23.13.143,,2052.0,143541.0,294546132.0
4,1770420620122000098,E,2022-12-26,2023-01-01,2023-12-31,77,44,RUB,2698999.98,"['ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЛОВАЯПРЕССА""']",7714934552,U,46.49.22.000,,164663.98,1.0,164663.98
5,1770420620122000100,E,2022-12-26,2023-01-01,2023-12-31,77,44,RUB,2697199.95,"['ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЛОВАЯПРЕССА""']",7714934552,U,46.49.22.000,,33506.56,2.0,67013.12
6,1770420620122000092,EC,2022-12-19,2022-12-19,2022-12-31,77,44,RUB,3295852.96,"['ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ""']",3525461127,U,,,641353.39,4.0,2565413.56
7,1770420620122000093,EC,2022-12-19,2022-12-19,2022-12-31,77,44,RUB,200000.0,['ИП БУДАГЯН МАРГАРИТА АЛЕКСЕЕВНА'],502211206505,P,,,15128.46,2.0,30256.92
8,1770420620122000094,E,2022-12-19,2022-12-19,2023-12-31,77,44,RUB,7971574.2,['ИП КУЛЕШОВ ИГОРЬ АЛЕКСАНДРОВИЧ'],772773328075,P,15.12.99.000,,7376.48,569.0,4197217.12
9,1770420620122000091,E,2022-12-15,2023-01-01,2023-12-31,77,44,RUB,445000.0,"['ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТРАЛЬНЫЙ ТЕЛЕГРАФ""']",7710146208,U,61.10.30.190,,445000.0,1.0,445000.0
10,1770420620122000090,E,2022-12-14,2023-01-01,2023-12-31,77,44,RUB,284700.0,['УПРАВЛЕНИЕ ПРАВИТЕЛЬСТВЕННОЙ СВЯЗИ СЛУЖБЫ СПЕЦИАЛЬНОЙ СВЯЗИ И ИНФОРМАЦИИ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ОХРАНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ'],7702502780,U,61.10.13.000,,284700.0,1.0,284700.0
11,1770420620122000087,EC,2022-12-12,2022-12-12,2022-12-31,77,44,RUB,556133.25,"['ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛЬНЫЕ КРИПТОГРАФИЧЕСКИЕ СИСТЕМЫ""']",6732205568,U,26.20.40.140,,22245.33,25.0,556133.25
12,1770420620122000088,EC,2022-12-12,2022-12-12,2022-12-31,77,44,RUB,384746.67,"['ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛЬНЫЕ КРИПТОГРАФИЧЕСКИЕ СИСТЕМЫ""']",6732205568,U,26.20.40.140,,384746.67,1.0,384746.67
13,1770420620122000089,E,2022-12-12,2022-12-12,2022-12-31,77,44,RUB,1200000.0,"['АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕМСТРОЙ-АЛЕКСС""']",7713161050,U,95.12.10.000,,9974.0,,
14,1770420620122000086,E,2022-12-06,2023-01-01,2024-03-31,77,44,RUB,8899974.0,"['ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСТЕЛЕКОМ""']",7707049388,U,61.10.11.110,,8899974.0,1.0,8899974.0
15,1770420620122000085,EC,2022-12-05,2022-12-06,2022-12-31,77,44,RUB,1440200.0,"['ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФО-ЭКСПЕРТ""']",6449058776,U,58.29.50.000,,15200.0,1.0,15200.0
16,1770420620122000083,E,2022-11-30,2023-01-01,2023-12-31,77,44,RUB,4957272.0,['ГОСУДАРСТВЕННАЯ ФЕЛЬДЪЕГЕРСКАЯ СЛУЖБА РОССИЙСКОЙ ФЕДЕРАЦИИ'],7709133821,U,53.20.11.122,,4957272.0,1.0,4957272.0
17,1770420620122000081,E,2022-11-10,2023-01-01,2024-03-03,77,44,RUB,4476467.28,"['ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКАЯ ГОРОДСКАЯ ТЕЛЕФОННАЯ СЕТЬ""']",7710016640,U,61.10.11.120,,4476467.28,1.0,4476467.28
